State,Account Length,Area Code,Int'l Plan,VMail Plan,VMail Message,Day Mins,Day Calls,Day Charge,Eve Mins,Eve Calls,Eve Charge,Night Mins,Night Calls,Night Charge,Intl Mins,Intl Calls,Intl Charge,CustServ Calls,TARGET
IA,130,415,no,no,0,150.4,119,25.57,230.5,99,19.59,186.3,76,8.38,12.3,4,3.32,1,0
IN,78,415,no,no,0,208.9,119,35.51,252.4,132,21.45,280.2,120,12.61,12.8,7,3.46,0,0
AL,55,415,yes,no,0,191.9,91,32.62,256.1,110,21.77,203.7,101,9.17,14.3,6,3.86,1,1
ME,92,415,yes,no,0,130.7,113,22.22,260.6,122,22.15,244.2,98,10.99,9.4,2,2.54,2,1
RI,129,415,no,yes,33,119.6,104,20.33,278.7,88,23.69,263.4,175,11.85,5.9,2,1.59,2,0
MD,18,408,no,no,0,273.6,93,46.51,114.6,116,9.74,250.6,120,11.28,8.2,4,2.21,1,0
FL,161,415,yes,no,0,156.1,114,26.54,180.3,63,15.33,179.6,115,8.08,11.1,9,3,2,0
CA,93,415,no,yes,36,178.7,134,30.38,178.6,102,15.18,126.8,82,5.71,8,4,2.16,2,0
AL,144,415,no,no,0,177.5,93,30.18,287.4,75,24.43,180.5,118,8.12,11.9,3,3.21,2,0
ME,75,408,yes,no,0,211.3,61,35.92,105.6,119,8.98,175.9,63,7.92,9.7,4,2.62,4,1
WV,95,415,no,no,0,175.2,91,29.78,244.4,109,20.77,75.8,95,3.41,7.5,2,2.03,1,0
SD,126,415,no,yes,23,114.3,102,19.43,190.3,103,16.18,240.4,111,10.82,12.6,7,3.4,3,0
FL,124,415,no,yes,28,251.4,104,42.74,225.1,89,19.13,251.9,121,11.34,7.5,5,2.03,1,0
MI,93,415,yes,no,0,216.9,61,36.87,207.4,120,17.63,221.7,110,9.98,17.5,5,4.73,1,1
MI,109,415,yes,yes,26,217.2,138,36.92,145.5,111,12.37,280.7,76,12.63,9.3,3,2.51,0,0
NM,80,510,no,no,0,206.3,97,35.07,154.9,98,13.17,263.6,82,11.86,12.4,12,3.35,0,0
AK,41,415,no,no,0,159.3,66,27.08,125.9,75,10.7,261.9,76,11.79,11.1,5,3,1,0
OH,136,415,no,yes,31,143.1,88,24.33,236.6,65,20.11,227.8,120,10.25,11.4,5,3.08,2,0
MO,92,415,no,no,0,154,122,26.18,329.8,88,28.03,288,117,12.96,5.6,2,1.51,3,1
KS,143,408,no,yes,24,186.6,69,31.72,222,116,18.87,234.9,138,10.57,11.6,5,3.13,1,0
MS,118,415,no,yes,26,170.8,114,29.04,199.5,125,16.96,169.7,98,7.64,9.6,5,2.59,5,1
VT,193,408,no,yes,17,124,102,21.08,202.9,81,17.25,205.1,129,9.23,12.3,3,3.32,1,0
NE,73,415,no,no,0,198.3,94,33.71,279.3,101,23.74,146.2,87,6.58,14.8,8,4,3,0
VA,62,408,no,no,0,172.8,101,29.38,204.8,97,17.41,240.8,90,10.84,9.1,8,2.46,2,0
DE,30,415,no,yes,30,217.4,74,36.96,213.8,86,18.17,227.2,104,10.22,6.6,3,1.78,0,0
AL,60,408,yes,yes,29,265.9,113,45.2,215.8,94,18.34,108.1,82,4.86,14,12,3.78,0,1
ID,148,510,no,yes,14,93.6,137,15.91,193.8,72,16.47,144.9,84,6.52,17.5,5,4.73,1,0
MS,96,510,no,no,0,98.2,100,16.69,307.2,88,26.11,182.5,120,8.21,7.6,1,2.05,2,0
OK,52,408,no,no,0,214.7,68,36.5,158.6,138,13.48,123.4,114,5.55,9.4,4,2.54,2,0
NM,87,415,no,no,0,168.2,92,28.59,224.7,100,19.1,169.5,99,7.63,12.9,3,3.48,1,0
WI,41,408,no,no,0,202.9,97,34.49,153.8,104,13.07,113.5,92,5.11,9,3,2.43,3,0
WV,112,415,no,no,0,261.4,108,44.44,154.5,102,13.13,130.9,90,5.89,11.6,2,3.13,1,0
SC,88,510,no,no,0,73.3,86,12.46,161.4,82,13.72,239.6,76,10.78,8.2,3,2.21,4,1
KY,122,408,no,yes,27,253.7,84,43.13,229.2,109,19.48,190.5,123,8.57,9.2,5,2.48,7,0
MO,61,408,no,no,0,45,108,7.65,151.3,74,12.86,152.9,94,6.88,9.8,6,2.65,2,0
IL,87,510,no,no,0,231.3,105,39.32,171.7,108,14.59,67.7,136,3.05,13,6,3.51,1,0
OK,176,408,no,no,0,47.4,125,8.06,167.8,90,14.26,163.1,107,7.34,10.5,8,2.84,2,0
MI,30,510,no,no,0,227.4,88,38.66,182.5,100,15.51,191.7,134,8.63,12.5,3,3.38,0,0
NJ,95,415,no,yes,22,40.9,126,6.95,133.4,90,11.34,264.2,91,11.89,11.9,7,3.21,0,0
ID,46,415,no,no,0,124.8,133,21.22,157.3,143,13.37,199.3,72,8.97,8.6,4,2.32,2,0
DC,100,510,yes,no,0,68.5,110,11.65,337.1,115,28.65,205.2,99,9.23,12.1,9,3.27,0,0
NY,47,415,no,yes,37,163.5,77,27.8,203.1,102,17.26,232,87,10.44,7.8,4,2.11,2,0
AL,77,415,no,no,0,163,112,27.71,219.1,89,18.62,233.4,66,10.5,6.7,3,1.81,2,0
OR,98,415,no,yes,38,213.7,61,36.33,253,104,21.51,207.7,73,9.35,10.7,5,2.89,2,0
OK,125,415,no,yes,36,201.3,117,34.22,42.2,78,3.59,125.7,104,5.66,5.4,3,1.46,1,0
LA,67,510,no,no,0,310.4,97,52.77,66.5,123,5.65,246.5,99,11.09,9.2,10,2.48,4,0
NE,194,408,no,no,0,48.4,101,8.23,281.1,138,23.89,218.5,87,9.83,18.2,1,4.91,1,0
TX,128,415,no,yes,40,171.2,88,29.1,145.7,109,12.38,196.8,93,8.86,14,6,3.78,1,0
UT,190,415,no,yes,22,166.5,93,28.31,183,92,15.56,121,102,5.44,8.5,3,2.3,0,0
OR,165,415,no,no,0,216.6,126,36.82,190.8,104,16.22,224.7,123,10.11,12.4,8,3.35,0,0
NY,59,408,no,no,0,107.8,113,18.33,216.6,125,18.41,217.5,92,9.79,9.9,3,2.67,2,0
AL,47,408,no,yes,28,141.3,94,24.02,168,108,14.28,113.5,84,5.11,7.8,2,2.11,1,0
RI,150,415,no,yes,29,209.9,77,35.68,158,52,13.43,141.9,113,6.39,6.6,1,1.78,0,0
MN,152,415,yes,yes,20,237.5,120,40.38,253.4,94,21.54,265.2,80,11.93,14.2,3,3.83,9,1
NC,26,415,no,no,0,234.5,109,39.87,216.5,129,18.4,191.6,94,8.62,3.5,6,0.95,3,0
MD,79,510,no,yes,31,103.1,90,17.53,243,135,20.66,76.4,92,3.44,12.2,8,3.29,3,0
RI,95,510,no,yes,27,129.5,106,22.02,248.9,90,21.16,268,115,12.06,11.9,3,3.21,1,0
WI,69,510,yes,no,0,279.8,90,47.57,248.7,91,21.14,171,118,7.69,8.4,10,2.27,2,1
VT,95,510,yes,yes,41,136.8,91,23.26,200.8,61,17.07,133.7,67,6.02,10.3,9,2.78,5,1
CT,31,415,no,yes,31,100.1,54,17.02,246.3,97,20.94,255,131,11.48,5.9,3,1.59,0,0
OK,121,408,no,yes,31,237.1,63,40.31,205.6,117,17.48,196.7,85,8.85,10.1,5,2.73,4,0
AK,111,415,no,no,0,172.8,58,29.38,183.1,108,15.56,158.8,104,7.15,7.9,3,2.13,4,1
NY,157,415,no,no,0,224.5,111,38.17,200.7,99,17.06,116.6,118,5.25,11.5,2,3.11,2,0
GA,44,510,no,no,0,288.1,112,48.98,258,92,21.93,192.4,90,8.66,10.2,4,2.75,3,1
UT,61,510,yes,no,0,78.2,103,13.29,195.9,149,16.65,108,100,4.86,10.1,6,2.73,2,0
NM,65,415,no,no,0,148.7,80,25.28,259,94,22.02,149.5,107,6.73,12.7,6,3.43,2,0
NE,74,415,no,yes,25,194.6,84,33.08,119.9,103,10.19,175.5,75,7.9,13.1,2,3.54,2,0
NJ,123,408,no,no,0,159.5,77,27.12,303.8,92,25.82,226.9,120,10.21,12,4,3.24,0,0
TX,58,408,no,yes,20,194.5,110,33.07,213.7,89,18.16,236.6,92,10.65,9.5,2,2.57,1,0
MT,74,408,no,no,0,174.1,96,29.6,251.1,94,21.34,257.6,123,11.59,8.3,5,2.24,2,1
CO,125,415,no,no,0,131.8,97,22.41,136.7,100,11.62,308.2,119,13.87,7.7,6,2.08,2,0
VT,80,415,no,no,0,160.6,103,27.3,237,109,20.15,245.1,88,11.03,10.7,1,2.89,1,0
RI,53,408,no,yes,18,146.8,107,24.96,310,84,26.35,178.7,130,8.04,7.2,7,1.94,0,0
WY,99,408,no,yes,28,200.7,88,34.12,264.2,116,22.46,172.7,102,7.77,9.1,5,2.46,1,0
ID,99,415,no,no,0,145.6,106,24.75,98.3,106,8.36,230.8,83,10.39,10.9,5,2.94,1,0
CT,66,415,no,yes,29,229.4,104,39,257.4,84,21.88,231.5,119,10.42,8,1,2.16,2,0
ME,97,510,no,no,0,211,76,35.87,189,100,16.07,123,102,5.54,4.7,4,1.27,3,0
AZ,75,510,no,yes,37,121.5,97,20.66,271.4,110,23.07,248.7,97,11.19,11.3,5,3.05,2,0
MD,85,510,yes,no,0,216,73,36.72,188.2,117,16,147.1,98,6.62,3.6,7,0.97,2,0
IN,108,510,no,no,0,293,88,49.81,160.6,101,13.65,143.9,87,6.48,10,6,2.7,2,0
NC,133,408,yes,yes,32,221.1,137,37.59,264.9,99,22.52,168.9,108,7.6,15.4,4,4.16,2,1
DE,51,510,no,no,0,181.5,108,30.86,196.9,87,16.74,187.2,119,8.42,10.3,2,2.78,1,0
MN,186,415,no,yes,26,74.3,107,12.63,177.3,116,15.07,296.3,90,13.33,14.5,3,3.92,2,0
WI,44,415,yes,no,0,62.3,92,10.59,275,82,23.38,138.7,108,6.24,10.8,3,2.92,1,0
FL,64,408,no,yes,31,228.6,88,38.86,248.5,109,21.12,167.1,124,7.52,9,1,2.43,3,0
WV,44,510,no,no,0,228.1,121,38.78,276.5,79,23.5,279.8,77,12.59,9.9,5,2.67,2,1
SD,114,415,no,yes,36,309.9,90,52.68,200.3,89,17.03,183.5,105,8.26,14.2,2,3.83,1,0
FL,92,415,no,no,0,201.9,74,34.32,226.8,119,19.28,217.5,80,9.79,13.7,6,3.7,3,0
OR,110,408,no,no,0,149.8,112,25.47,180,93,15.3,140,119,6.3,11.7,4,3.16,2,0
CO,90,408,no,yes,30,183.8,76,31.25,229.7,95,19.52,144.1,124,6.48,7.7,3,2.08,1,0
CT,72,408,no,yes,21,186.7,108,31.74,335,86,28.48,187.2,119,8.42,16.5,4,4.46,1,0
IN,113,415,no,no,0,209.4,151,35.6,347.3,113,29.52,246,116,11.07,7.4,2,2,1,1
PA,171,415,no,yes,25,223.2,77,37.94,183.2,118,15.57,150.8,90,6.79,10.2,3,2.75,3,0
NM,104,415,no,no,0,164.2,109,27.91,155.4,90,13.21,168.9,117,7.6,10.7,8,2.89,1,0
ME,165,408,no,no,0,150.5,75,25.59,193.1,93,16.41,311.6,93,14.02,10.3,2,2.78,1,0
SD,104,510,no,no,0,234.2,128,39.81,293.1,92,24.91,183.9,79,8.28,9.8,6,2.65,0,1
AR,110,408,no,no,0,55.3,102,9.4,164.7,124,14,200.7,108,9.03,10.2,5,2.75,1,0
TX,90,408,yes,no,0,221.8,97,37.71,203.8,134,17.32,215.8,154,9.71,8.4,4,2.27,1,0
NH,114,415,no,no,0,169.6,85,28.83,58.9,86,5.01,179.3,124,8.07,7.4,8,2,1,0
OK,101,408,no,no,0,89.7,118,15.25,260.1,79,22.11,170.1,93,7.65,13.5,11,3.65,5,1
WI,117,408,no,yes,14,80.2,81,13.63,219,103,18.62,122.6,102,5.52,8.6,2,2.32,1,0
AL,109,408,no,no,0,218.9,105,37.21,299.9,87,25.49,158.6,110,7.14,11.3,4,3.05,2,0
PA,82,408,no,no,0,125.7,96,21.37,207.6,137,17.65,183.1,103,8.24,12.9,2,3.48,1,0
OK,92,510,no,no,0,176.3,85,29.97,93.4,125,7.94,207.2,107,9.32,9.6,1,2.59,2,0
ME,82,510,no,yes,29,207.2,111,35.22,254.1,137,21.6,169.3,92,7.62,9.5,5,2.57,2,0
WV,90,415,no,no,0,205.7,138,34.97,161.9,83,13.76,269.7,104,12.14,12.5,6,3.38,2,0
HI,87,408,no,yes,28,151.4,95,25.74,152.4,97,12.95,250.1,109,11.25,0,0,0,1,0
MN,124,510,no,no,0,157.5,70,26.78,130.7,79,11.11,193.4,98,8.7,9.6,4,2.59,3,0
NY,39,408,no,no,0,160.4,68,27.27,102.6,103,8.72,235.3,106,10.59,9.1,5,2.46,2,0
AZ,84,415,no,no,0,159,80,27.03,167.9,128,14.27,167.6,101,7.54,12.3,5,3.32,1,0
OH,75,510,no,yes,46,214.1,62,36.4,200.9,111,17.08,246.8,126,11.11,9.2,6,2.48,0,0
MI,102,510,no,no,0,102.6,89,17.44,246,77,20.91,170.5,140,7.67,9.1,4,2.46,2,0
MA,62,415,yes,no,0,159.7,86,27.15,197.5,76,16.79,121.6,105,5.47,13.9,6,3.75,0,1
WV,143,510,no,no,0,202.8,109,34.48,165.8,104,14.09,143.9,71,6.48,4.6,4,1.24,1,0
MI,53,415,no,no,0,57.5,95,9.78,265.5,131,22.57,244.3,128,10.99,11.6,6,3.13,3,0
NM,30,415,no,no,0,169.9,144,28.88,225.2,118,19.14,169.7,93,7.64,11.4,7,3.08,1,0
MO,112,415,no,no,0,335.5,77,57.04,212.5,109,18.06,265,132,11.93,12.7,8,3.43,2,1
RI,129,415,no,no,0,139.5,119,23.72,289.3,105,24.59,129.4,97,5.82,13.1,8,3.54,0,0
NC,63,415,no,yes,29,142.3,107,24.19,118.7,56,10.09,240.1,91,10.8,6.6,8,1.78,1,0
WY,28,415,no,no,0,187.8,94,31.93,248.6,86,21.13,208.8,124,9.4,10.6,5,2.86,0,0
WY,111,415,no,no,0,146.2,55,24.85,261.5,83,22.23,163.2,116,7.34,8.7,3,2.35,3,0
PA,91,510,no,no,0,231.8,120,39.41,150.6,106,12.8,269.2,129,12.11,11.6,7,3.13,3,0
KY,90,415,no,no,0,193.7,83,32.93,154.2,79,13.11,299,60,13.46,12.7,3,3.43,1,0
OR,151,510,no,no,0,156.4,108,26.59,233.4,118,19.84,195.7,141,8.81,7.7,6,2.08,4,0
NV,105,415,yes,yes,29,220.7,82,37.52,217.7,110,18.5,190.5,100,8.57,13.2,6,3.56,1,1
DC,41,408,no,yes,37,239.8,110,40.77,221.9,115,18.86,189.1,100,8.51,7.3,1,1.97,2,0
UT,48,510,no,yes,43,172,111,29.24,200.2,64,17.02,233.1,96,10.49,8,5,2.16,1,0
WA,166,408,yes,yes,35,128.2,138,21.79,274.5,113,23.33,298.9,130,13.45,8.8,7,2.38,2,0
FL,79,510,no,no,0,130.2,119,22.13,290.9,121,24.73,194.8,140,8.77,14,6,3.78,3,0
VA,153,510,no,no,0,195.4,107,33.22,154.6,96,13.14,142.8,97,6.43,11.6,6,3.13,1,0
KS,110,415,yes,no,0,293.3,79,49.86,188.5,90,16.02,266.9,91,12.01,14.5,4,3.92,0,1
KS,163,415,no,no,0,191.3,89,32.52,193.9,87,16.48,268.4,121,12.08,12.8,4,3.46,1,0
DC,126,510,no,no,0,122.4,88,20.81,143.8,111,12.22,157,106,7.07,11.5,3,3.11,1,0
ME,105,408,no,yes,33,209.6,68,35.63,146.9,140,12.49,121,131,5.44,10.6,3,2.86,2,0
LA,172,415,no,no,0,215.7,140,36.67,146.3,84,12.44,264.6,83,11.91,7.1,1,1.92,3,0
DC,126,415,no,no,0,161.4,110,27.44,220.6,125,18.75,249.2,78,11.21,5.1,2,1.38,0,0
TX,97,510,no,no,0,144.2,91,24.51,226.7,137,19.27,144.6,72,6.51,13.8,4,3.73,3,0
NJ,95,408,yes,yes,37,220.2,109,37.43,185.3,99,15.75,205.1,82,9.23,4.1,2,1.11,0,1
DE,87,510,no,no,0,256.2,105,43.55,160.7,102,13.66,249.4,80,11.22,7.4,2,2,4,0
VT,97,415,no,no,0,112.7,119,19.16,217.7,109,18.5,152.1,76,6.84,6.5,5,1.76,1,0
GA,76,415,no,no,0,299.5,125,50.92,226.7,92,19.27,210.7,134,9.48,13.7,4,3.7,0,1
TX,140,408,no,no,0,194.8,107,33.12,170.9,99,14.53,225.1,93,10.13,13.9,4,3.75,0,0
MT,169,415,no,no,0,100.8,112,17.14,230,69,19.55,193.6,95,8.71,9.5,2,2.57,0,0
ND,68,408,no,yes,22,82.5,97,14.03,289.9,94,24.64,180,114,8.1,4.8,4,1.3,3,0
NJ,122,415,no,yes,34,146.4,104,24.89,89.7,103,7.62,220,91,9.9,15.6,4,4.21,2,0
MO,36,408,no,no,0,177.9,129,30.24,224.6,87,19.09,306.3,102,13.78,10.8,6,2.92,2,0
CO,120,510,no,yes,27,153.5,84,26.1,194,73,16.49,256.5,94,11.54,10.2,7,2.75,5,0
KS,121,408,no,no,0,150.7,105,25.62,197.3,133,16.77,169,116,7.61,9.2,15,2.48,1,0
NC,64,408,no,yes,19,180.1,106,30.62,127.5,92,10.84,237.4,118,10.68,7.5,3,2.03,0,0
MT,13,415,no,yes,31,265.3,94,45.1,147.6,95,12.55,259.3,117,11.67,12.9,1,3.48,1,0
DE,106,415,no,no,0,128.6,83,21.86,134,114,11.39,210.6,113,9.48,11.4,2,3.08,0,0
ND,88,415,no,no,0,161.5,92,27.46,173.5,108,14.75,206.2,95,9.28,7.9,4,2.13,2,0
VA,74,408,no,no,0,165.3,120,28.1,198.5,106,16.87,208.5,102,9.38,9.8,3,2.65,1,0
IL,83,415,no,no,0,195,92,33.15,210.5,83,17.89,180.6,92,8.13,11,13,2.97,0,0
OK,49,415,no,no,0,213.8,79,36.35,265.1,93,22.53,239.8,128,10.79,15.6,7,4.21,0,0
CO,111,510,no,yes,24,205.5,114,34.94,219.3,99,18.64,215.9,95,9.72,14,4,3.78,1,0
MT,50,415,no,yes,22,252.9,112,42.99,177.9,99,15.12,158.4,146,7.13,8.5,4,2.3,3,0
WV,153,408,no,yes,28,235.6,74,40.05,227.9,37,19.37,170.3,103,7.66,15.4,9,4.16,0,0
ME,88,415,no,no,0,192,91,32.64,127.6,127,10.85,155.6,125,7,7.5,5,2.03,1,0
WI,131,415,no,yes,39,69.1,122,11.75,101.3,136,8.61,104.8,94,4.72,9.1,4,2.46,0,0
MO,79,408,no,no,0,261.7,97,44.49,210.6,48,17.9,256.7,83,11.55,6,3,1.62,3,1
NY,140,415,no,no,0,235.5,81,40.04,257.2,130,21.86,103.1,111,4.64,11.5,4,3.11,2,0
CT,105,408,no,no,0,213.4,100,36.28,204.9,52,17.42,179.7,93,8.09,9.5,6,2.57,1,0
AR,54,415,no,yes,39,206.9,143,35.17,127.8,72,10.86,199.2,120,8.96,9.2,1,2.48,3,0
WY,87,415,no,yes,22,263.8,65,44.85,103.4,115,8.79,208.1,109,9.36,8.5,3,2.3,3,0
CA,96,510,no,yes,31,183.4,126,31.18,195.5,106,16.62,180.1,93,8.1,10.5,5,2.84,1,0
CA,79,510,no,no,0,157.6,85,26.79,194.1,92,16.5,231.5,86,10.42,9.4,10,2.54,5,1
MN,55,415,no,no,0,175.6,147,29.85,161.8,118,13.75,289.5,55,13.03,9.3,4,2.51,0,0
AK,130,415,no,no,0,242.5,101,41.23,102.8,114,8.74,142.4,89,6.41,9.3,2,2.51,2,0
VA,34,415,no,no,0,151,102,25.67,131.4,101,11.17,186.6,86,8.4,9.9,7,2.67,0,0
CO,139,415,no,no,0,138.1,103,23.48,164.5,100,13.98,134.9,63,6.07,8.3,2,2.24,1,0
MT,109,408,no,no,0,264.7,69,45,305,120,25.93,197.4,86,8.88,9.5,9,2.57,1,1
SD,65,408,no,yes,31,282.3,70,47.99,152,89,12.92,225.5,93,10.15,12,4,3.24,1,0
NE,63,415,no,no,0,211.2,80,35.9,237.7,93,20.2,259.2,58,11.66,12.3,2,3.32,0,0
VT,152,415,no,no,0,197.1,126,33.51,130.1,76,11.06,78.1,100,3.51,7.4,4,2,3,0
ND,147,408,no,no,0,205.3,95,34.9,166.7,128,14.17,240.6,84,10.83,7.8,4,2.11,1,0
GA,112,415,no,yes,22,181.8,110,30.91,228.1,123,19.39,262.7,141,11.82,9.2,4,2.48,2,0
OR,120,415,no,no,0,252,120,42.84,150.2,106,12.77,151.8,96,6.83,9.6,1,2.59,2,0
MT,27,510,no,no,0,193.8,102,32.95,118.9,104,10.11,135.9,124,6.12,9.2,3,2.48,0,0
WY,171,415,no,no,0,231.2,135,39.3,188.7,74,16.04,206.9,124,9.31,12.3,1,3.32,1,0
GA,101,415,no,yes,33,200.1,108,34.02,188.9,122,16.06,205.1,90,9.23,15.5,4,4.19,0,0
WV,32,408,no,yes,26,266.7,109,45.34,232.3,107,19.75,212.8,98,9.58,16.3,4,4.4,1,0
CT,3,415,no,yes,36,118.1,117,20.08,221.5,125,18.83,103.9,89,4.68,11.9,6,3.21,2,0
IL,151,408,no,no,0,175.3,106,29.8,144.3,87,12.27,160.2,88,7.21,11.8,5,3.19,0,0
CO,60,408,no,no,0,125.1,99,21.27,248.8,62,21.15,211.3,79,9.51,11.2,3,3.02,3,0
DE,119,415,no,no,0,176.8,90,30.06,224.7,81,19.1,204.6,77,9.21,7.5,15,2.03,1,0
LA,43,415,no,no,0,241.9,101,41.12,129.4,121,11,264.8,104,11.92,5.9,3,1.59,1,0
MA,42,408,no,no,0,241.2,134,41,116.5,114,9.9,152.2,91,6.85,10.6,4,2.86,0,0
IN,84,408,no,no,0,217.1,99,36.91,236,68,20.06,118.3,120,5.32,9.4,4,2.54,1,0
NY,65,510,no,no,0,195.4,110,33.22,181.2,109,15.4,178.5,105,8.03,8.9,4,2.4,0,0
TX,75,415,yes,no,0,222.4,78,37.81,327,111,27.8,208,104,9.36,8.7,9,2.35,1,1
KS,116,510,no,no,0,189.5,90,32.22,189.8,118,16.13,205.8,83,9.26,13.1,2,3.54,1,0
WV,107,415,no,no,0,123.1,100,20.93,158.4,82,13.46,256.1,82,11.52,9.3,5,2.51,0,0
NE,189,415,no,yes,38,256.7,98,43.64,150.5,120,12.79,123,87,5.54,11.4,3,3.08,3,0
ND,123,408,no,no,0,159.1,94,27.05,241.6,119,20.54,202.4,120,9.11,6.5,1,1.76,1,0
AK,110,408,no,no,0,100.1,90,17.02,233.3,93,19.83,204.4,57,9.2,11.1,8,3,3,0
CO,63,415,no,yes,32,30.9,113,5.25,187,113,15.9,230.8,101,10.39,8.6,7,2.32,1,0
ME,176,415,no,no,0,223.2,76,37.94,214.4,131,18.22,154.4,80,6.95,10.1,2,2.73,3,0
SC,108,510,no,no,0,187.4,101,31.86,199.9,126,16.99,216.1,107,9.72,12.6,8,3.4,1,0
MN,13,510,no,yes,21,315.6,105,53.65,208.9,71,17.76,260.1,123,11.7,12.1,3,3.27,3,0
CO,71,415,no,no,0,277.5,104,47.18,131.8,121,11.2,126.9,101,5.71,8.2,2,2.21,1,0
KS,88,415,no,no,0,189.8,111,32.27,197.3,101,16.77,234.5,111,10.55,14.9,3,4.02,2,0
MS,137,510,no,no,0,147.2,119,25.02,192.8,91,16.39,172.7,105,7.77,10.2,4,2.75,1,0
NE,82,408,no,no,0,185.8,36,31.59,276.5,134,23.5,192.1,104,8.64,5.7,7,1.54,4,0
NJ,92,510,no,yes,29,155.4,110,26.42,188.5,104,16.02,254.9,118,11.47,8,4,2.16,3,0
WI,165,510,no,no,0,154.2,91,26.21,268.6,108,22.83,188.8,99,8.5,10.9,4,2.94,6,0
MT,96,415,no,no,0,97.6,98,16.59,105.5,118,8.97,220.2,105,9.91,11.6,9,3.13,1,0
AR,156,415,no,no,0,178.8,94,30.4,178.4,97,15.16,169.2,77,7.61,7.5,3,2.03,1,0
WA,63,408,no,no,0,149.3,104,25.38,273.6,75,23.26,206.6,72,9.3,9.1,4,2.46,0,0
NH,37,415,no,no,0,206,89,35.02,186,88,15.81,307.1,86,13.82,8.4,11,2.27,0,0
IA,98,415,no,no,0,216.8,86,36.86,190.8,114,16.22,187.5,79,8.44,11,9,2.97,0,0
WV,121,415,no,no,0,103.3,110,17.56,129.1,82,10.97,167.1,113,7.52,10.7,3,2.89,0,0
RI,94,415,no,no,0,139.4,95,23.7,159.1,92,13.52,128.2,129,5.77,7.7,3,2.08,0,0
KS,99,415,no,no,0,191.2,110,32.5,163.9,102,13.93,243.6,114,10.96,14.1,3,3.81,1,0
MT,163,510,no,yes,23,160,104,27.2,189.4,64,16.1,229.9,118,10.35,10.4,7,2.81,1,0
MO,161,510,no,no,0,221.7,95,37.69,193,82,16.41,194.1,113,8.73,6.5,4,1.76,3,0
HI,99,415,no,no,0,62.9,81,10.69,231,64,19.64,168.9,121,7.6,8.5,5,2.3,1,0
CO,108,415,no,no,0,215.6,78,36.65,195.3,119,16.6,194.4,65,8.75,3.6,5,0.97,1,0
CT,84,510,no,yes,42,165.3,97,28.1,223.5,118,19,260.8,72,11.74,7.6,7,2.05,3,0
ID,83,415,yes,yes,32,94.7,111,16.1,154.4,98,13.12,200.4,109,9.02,10.6,6,2.86,2,0
DC,139,510,no,no,0,203.2,81,34.54,152.5,99,12.96,197.8,76,8.9,9.7,3,2.62,2,0
TN,69,510,no,no,0,195.3,70,33.2,216.7,108,18.42,259.9,119,11.7,12.5,4,3.38,3,0
WY,129,510,no,no,0,143.7,114,24.43,297.8,98,25.31,212.6,86,9.57,11.4,8,3.08,4,0
MO,106,415,no,no,0,114.4,104,19.45,78.3,101,6.66,232.7,78,10.47,0,0,0,2,0
VA,158,415,no,no,0,222.8,101,37.88,203,128,17.26,210.6,106,9.48,6.9,2,1.86,2,0
SD,168,415,no,yes,22,175.9,70,29.9,211.7,105,17.99,174.5,81,7.85,7.3,5,1.97,2,0
WV,115,510,yes,no,0,249.9,95,42.48,242.5,104,20.61,151.7,121,6.83,15.3,6,4.13,1,1
GA,57,408,yes,yes,30,234.5,130,39.87,195.2,116,16.59,268.8,94,12.1,11.4,4,3.08,2,0
AZ,67,415,no,no,0,210.7,116,35.82,219.2,86,18.63,179.7,83,8.09,7.2,6,1.94,1,0
AK,127,408,no,no,0,182.3,124,30.99,169.9,110,14.44,184,116,8.28,9.3,3,2.51,1,0
AK,78,510,no,no,0,190.3,88,32.35,194.5,89,16.53,256.5,109,11.54,11.7,5,3.16,2,0
CT,100,415,no,yes,38,177.1,88,30.11,163.7,108,13.91,242.7,72,10.92,7.4,2,2,0,0
UT,103,510,no,yes,36,87.2,92,14.82,169.3,110,14.39,166.7,80,7.5,10.9,5,2.94,6,1
KY,113,415,no,no,0,215.6,96,36.65,193.4,127,16.44,105.4,115,4.74,13.5,3,3.65,1,0
MI,78,510,no,no,0,137.4,109,23.36,237.6,49,20.2,206.7,136,9.3,14,11,3.78,3,0
OR,129,510,no,yes,36,192.8,103,32.78,177,83,15.05,216.5,118,9.74,16.4,5,4.43,1,0
TN,57,510,no,no,0,149.3,100,25.38,200.2,110,17.02,231.7,101,10.43,11.9,3,3.21,2,0
WV,82,408,no,no,0,143.7,116,24.43,170.7,99,14.51,287.7,95,12.95,7.8,5,2.11,1,0
NJ,64,415,no,no,0,224.8,111,38.22,190,101,16.15,221.4,110,9.96,9.2,2,2.48,1,0
MS,86,510,no,yes,39,261.2,122,44.4,214.2,101,18.21,154.9,101,6.97,12.7,5,3.43,2,0
ME,151,415,no,yes,26,196.5,98,33.41,175.8,111,14.94,221.8,124,9.98,13.4,5,3.62,0,0
WY,94,510,no,no,0,271.2,105,46.1,202.6,105,17.22,221.6,51,9.97,11.5,3,3.11,3,1
WY,90,415,no,no,0,207.2,121,35.22,292.5,104,24.86,226.3,103,10.18,8,1,2.16,2,0
IN,48,510,no,no,0,300.4,94,51.07,133.2,103,11.32,197.4,94,8.88,7.2,5,1.94,2,0
NM,85,408,no,yes,37,229.6,123,39.03,132.3,90,11.25,211.9,76,9.54,9.5,8,2.57,2,0
